"Timestamp","How familiar are you with the organization seeking funding?","Have you interacted with this organization in the past?","How transparent do you perceive the organization to be in its operations and financial disclosures?","How would you rate the organization's impact and effectiveness in addressing its stated mission or goals?","Have you heard positive or negative feedback about this organization from others in your community?","How trustworthy do you find this organization based on your knowledge and interactions?","Would you recommend supporting this organization to others in your network?","How would you rate the organization's communication and responsiveness?"
"2024/03/21 12:03:59 am GMT+5:30","","","","","","","",""
"2024/03/21 12:04:05 am GMT+5:30","Familiar","Yes","Not Transparent","2","Mixed feedback","Non trustworthy","Not recommend","Average"
"2024/03/21 12:04:06 am GMT+5:30","Familiar","Yes","Not Transparent","2","Mixed feedback","Non trustworthy","Not recommend","Average"
"2024/03/21 12:04:08 am GMT+5:30","Familiar","Yes","Not Transparent","2","Mixed feedback","Non trustworthy","Not recommend","Average"
"2024/03/21 12:04:09 am GMT+5:30","Familiar","Yes","Not Transparent","2","Mixed feedback","Non trustworthy","Not recommend","Average"
"2024/03/21 12:04:11 am GMT+5:30","Familiar","Yes","Not Transparent","2","Mixed feedback","Non trustworthy","Not recommend","Average"
"2024/03/21 12:04:12 am GMT+5:30","Familiar","Yes","Not Transparent","2","Mixed feedback","Non trustworthy","Not recommend","Average"
"2024/03/21 12:04:14 am GMT+5:30","Familiar","Yes","Not Transparent","2","Mixed feedback","Non trustworthy","Not recommend","Average"
"2024/03/21 12:04:15 am GMT+5:30","Familiar","Yes","Not Transparent","2","Mixed feedback","Non trustworthy","Not recommend","Average"
"2024/03/21 12:04:17 am GMT+5:30","Familiar","Yes","Not Transparent","2","Mixed feedback","Non trustworthy","Not recommend","Average"
"2024/03/21 12:04:18 am GMT+5:30","Familiar","Yes","Not Transparent","2","Mixed feedback","Non trustworthy","Not recommend","Average"
"2024/03/21 12:04:19 am GMT+5:30","Familiar","Yes","Not Transparent","2","Mixed feedback","Non trustworthy","Not recommend","Average"
"2024/03/21 12:04:21 am GMT+5:30","Familiar","Yes","Not Transparent","2","Mixed feedback","Non trustworthy","Not recommend","Average"
"2024/03/21 12:04:22 am GMT+5:30","Familiar","Yes","Not Transparent","2","Mixed feedback","Non trustworthy","Not recommend","Average"
"2024/03/21 12:04:24 am GMT+5:30","Familiar","Yes","Not Transparent","2","Mixed feedback","Non trustworthy","Not recommend","Average"
"2024/03/21 12:04:25 am GMT+5:30","Familiar","Yes","Not Transparent","2","Mixed feedback","Non trustworthy","Not recommend","Average"
"2024/03/21 12:04:26 am GMT+5:30","Familiar","Yes","Not Transparent","2","Mixed feedback","Non trustworthy","Not recommend","Average"
"2024/03/21 12:04:28 am GMT+5:30","Familiar","Yes","Not Transparent","2","Mixed feedback","Non trustworthy","Not recommend","Average"
"2024/03/21 12:04:29 am GMT+5:30","Familiar","Yes","Not Transparent","2","Mixed feedback","Non trustworthy","Not recommend","Average"
"2024/03/21 12:04:31 am GMT+5:30","Familiar","Yes","Not Transparent","2","Mixed feedback","Non trustworthy","Not recommend","Average"
"2024/03/21 12:04:32 am GMT+5:30","Familiar","Yes","Not Transparent","2","Mixed feedback","Non trustworthy","Not recommend","Average"
"2024/03/21 12:06:36 am GMT+5:30","Not familiar","No","Transparent","4","No feedback","Trustworthy","Highly recommend","Average"
"2024/03/21 12:07:04 am GMT+5:30","","","","","","","",""
"2024/03/21 12:11:12 am GMT+5:30","","","","","","","",""
"2024/03/21 12:11:18 am GMT+5:30","Not familiar","Yes","Transparent","2","Positive feedback","Trustworthy","Highly recommend","Excellent"
"2024/03/21 12:11:19 am GMT+5:30","Not familiar","Yes","Transparent","2","Positive feedback","Trustworthy","Highly recommend","Excellent"
"2024/03/21 12:11:22 am GMT+5:30","Not familiar","Yes","Transparent","2","Positive feedback","Trustworthy","Highly recommend","Excellent"
"2024/03/21 12:11:24 am GMT+5:30","Not familiar","Yes","Transparent","2","Positive feedback","Trustworthy","Highly recommend","Excellent"
"2024/03/21 12:11:25 am GMT+5:30","Not familiar","Yes","Transparent","2","Positive feedback","Trustworthy","Highly recommend","Excellent"
"2024/03/21 12:11:27 am GMT+5:30","Not familiar","Yes","Transparent","2","Positive feedback","Trustworthy","Highly recommend","Excellent"
"2024/03/21 12:11:28 am GMT+5:30","Not familiar","Yes","Transparent","2","Positive feedback","Trustworthy","Highly recommend","Excellent"
"2024/03/21 12:11:30 am GMT+5:30","Not familiar","Yes","Transparent","2","Positive feedback","Trustworthy","Highly recommend","Excellent"
"2024/03/21 12:11:31 am GMT+5:30","Not familiar","Yes","Transparent","2","Positive feedback","Trustworthy","Highly recommend","Excellent"
"2024/03/21 12:11:32 am GMT+5:30","Not familiar","Yes","Transparent","2","Positive feedback","Trustworthy","Highly recommend","Excellent"
"2024/03/21 12:11:34 am GMT+5:30","Not familiar","Yes","Transparent","2","Positive feedback","Trustworthy","Highly recommend","Excellent"
"2024/03/21 12:11:35 am GMT+5:30","Not familiar","Yes","Transparent","2","Positive feedback","Trustworthy","Highly recommend","Excellent"
"2024/03/21 12:11:36 am GMT+5:30","","","","","","","",""
"2024/03/21 12:11:37 am GMT+5:30","Not familiar","Yes","Transparent","2","Positive feedback","Trustworthy","Highly recommend","Excellent"
"2024/03/21 12:11:38 am GMT+5:30","Not familiar","Yes","Transparent","2","Positive feedback","Trustworthy","Highly recommend","Excellent"
"2024/03/21 12:11:40 am GMT+5:30","Not familiar","Yes","Transparent","2","Positive feedback","Trustworthy","Highly recommend","Excellent"
"2024/03/21 12:11:40 am GMT+5:30","Familiar","Yes","Transparent","4","Mixed feedback","Trustworthy","Highly recommend","Excellent"
"2024/03/21 12:11:41 am GMT+5:30","Not familiar","Yes","Transparent","2","Positive feedback","Trustworthy","Highly recommend","Excellent"
"2024/03/21 12:11:42 am GMT+5:30","Familiar","Yes","Transparent","4","Mixed feedback","Trustworthy","Highly recommend","Excellent"
"2024/03/21 12:11:43 am GMT+5:30","Not familiar","Yes","Transparent","2","Positive feedback","Trustworthy","Highly recommend","Excellent"
"2024/03/21 12:11:43 am GMT+5:30","Familiar","Yes","Transparent","4","Mixed feedback","Trustworthy","Highly recommend","Excellent"
"2024/03/21 12:11:44 am GMT+5:30","Not familiar","Yes","Transparent","2","Positive feedback","Trustworthy","Highly recommend","Excellent"
"2024/03/21 12:11:45 am GMT+5:30","Familiar","Yes","Transparent","4","Mixed feedback","Trustworthy","Highly recommend","Excellent"
"2024/03/21 12:11:46 am GMT+5:30","Not familiar","Yes","Transparent","2","Positive feedback","Trustworthy","Highly recommend","Excellent"
"2024/03/21 12:11:46 am GMT+5:30","Familiar","Yes","Transparent","4","Mixed feedback","Trustworthy","Highly recommend","Excellent"
"2024/03/21 12:11:47 am GMT+5:30","Not familiar","Yes","Transparent","2","Positive feedback","Trustworthy","Highly recommend","Excellent"
"2024/03/21 12:11:48 am GMT+5:30","Familiar","Yes","Transparent","4","Mixed feedback","Trustworthy","Highly recommend","Excellent"
"2024/03/21 12:11:49 am GMT+5:30","Familiar","Yes","Transparent","4","Mixed feedback","Trustworthy","Highly recommend","Excellent"
"2024/03/21 12:11:51 am GMT+5:30","Familiar","Yes","Transparent","4","Mixed feedback","Trustworthy","Highly recommend","Excellent"
"2024/03/21 12:11:53 am GMT+5:30","Familiar","Yes","Transparent","4","Mixed feedback","Trustworthy","Highly recommend","Excellent"
"2024/03/21 12:11:54 am GMT+5:30","Familiar","Yes","Transparent","4","Mixed feedback","Trustworthy","Highly recommend","Excellent"
"2024/03/21 12:11:56 am GMT+5:30","Familiar","Yes","Transparent","4","Mixed feedback","Trustworthy","Highly recommend","Excellent"
"2024/03/21 12:11:57 am GMT+5:30","Familiar","Yes","Transparent","4","Mixed feedback","Trustworthy","Highly recommend","Excellent"
"2024/03/21 12:11:59 am GMT+5:30","Familiar","Yes","Transparent","4","Mixed feedback","Trustworthy","Highly recommend","Excellent"
"2024/03/21 12:12:00 am GMT+5:30","Familiar","Yes","Transparent","4","Mixed feedback","Trustworthy","Highly recommend","Excellent"
"2024/03/21 12:12:02 am GMT+5:30","Familiar","Yes","Transparent","4","Mixed feedback","Trustworthy","Highly recommend","Excellent"
"2024/03/21 12:12:03 am GMT+5:30","Familiar","Yes","Transparent","4","Mixed feedback","Trustworthy","Highly recommend","Excellent"
"2024/03/21 12:12:04 am GMT+5:30","Familiar","Yes","Transparent","4","Mixed feedback","Trustworthy","Highly recommend","Excellent"
"2024/03/21 12:12:06 am GMT+5:30","Familiar","Yes","Transparent","4","Mixed feedback","Trustworthy","Highly recommend","Excellent"
"2024/03/21 12:12:07 am GMT+5:30","Familiar","Yes","Transparent","4","Mixed feedback","Trustworthy","Highly recommend","Excellent"
"2024/03/21 12:12:09 am GMT+5:30","Familiar","Yes","Transparent","4","Mixed feedback","Trustworthy","Highly recommend","Excellent"
"2024/03/21 12:12:10 am GMT+5:30","Familiar","Yes","Transparent","4","Mixed feedback","Trustworthy","Highly recommend","Excellent"
"2024/03/21 12:12:12 am GMT+5:30","Familiar","Yes","Transparent","4","Mixed feedback","Trustworthy","Highly recommend","Excellent"
"2024/03/21 12:12:14 am GMT+5:30","Familiar","Yes","Transparent","4","Mixed feedback","Trustworthy","Highly recommend","Excellent"
"2024/03/21 12:12:15 am GMT+5:30","Familiar","Yes","Transparent","4","Mixed feedback","Trustworthy","Highly recommend","Excellent"
"2024/03/21 12:12:16 am GMT+5:30","Familiar","Yes","Transparent","4","Mixed feedback","Trustworthy","Highly recommend","Excellent"
"2024/03/21 12:12:43 am GMT+5:30","Familiar","Yes","Transparent","4","Mixed feedback","Trustworthy","Highly recommend","Excellent"
"2024/03/21 12:13:27 am GMT+5:30","Familiar","Yes","Transparent","3","Positive feedback","Non trustworthy","Highly recommend","Average"
"2024/03/21 12:14:46 am GMT+5:30","","","","","","","",""
"2024/03/21 12:14:51 am GMT+5:30","Not familiar","Yes","Transparent","3","Mixed feedback","Non trustworthy","Highly recommend","Average"
"2024/03/21 12:14:53 am GMT+5:30","Not familiar","Yes","Transparent","3","Mixed feedback","Non trustworthy","Highly recommend","Average"
"2024/03/21 12:14:54 am GMT+5:30","Not familiar","Yes","Transparent","3","Mixed feedback","Non trustworthy","Highly recommend","Average"
"2024/03/21 12:14:56 am GMT+5:30","Not familiar","Yes","Transparent","3","Mixed feedback","Non trustworthy","Highly recommend","Average"
"2024/03/21 12:14:58 am GMT+5:30","Not familiar","Yes","Transparent","3","Mixed feedback","Non trustworthy","Highly recommend","Average"
"2024/03/21 12:14:59 am GMT+5:30","Not familiar","Yes","Transparent","3","Mixed feedback","Non trustworthy","Highly recommend","Average"
"2024/03/21 12:15:01 am GMT+5:30","Not familiar","Yes","Transparent","3","Mixed feedback","Non trustworthy","Highly recommend","Average"
"2024/03/21 12:15:02 am GMT+5:30","Not familiar","Yes","Transparent","3","Mixed feedback","Non trustworthy","Highly recommend","Average"
"2024/03/21 12:15:04 am GMT+5:30","Not familiar","Yes","Transparent","3","Mixed feedback","Non trustworthy","Highly recommend","Average"
"2024/03/21 12:15:05 am GMT+5:30","Not familiar","Yes","Transparent","3","Mixed feedback","Non trustworthy","Highly recommend","Average"
"2024/03/21 12:15:07 am GMT+5:30","Not familiar","Yes","Transparent","3","Mixed feedback","Non trustworthy","Highly recommend","Average"
"2024/03/21 12:15:08 am GMT+5:30","Not familiar","Yes","Transparent","3","Mixed feedback","Non trustworthy","Highly recommend","Average"
"2024/03/21 12:15:10 am GMT+5:30","Not familiar","Yes","Transparent","3","Mixed feedback","Non trustworthy","Highly recommend","Average"
"2024/03/21 12:15:11 am GMT+5:30","Not familiar","Yes","Transparent","3","Mixed feedback","Non trustworthy","Highly recommend","Average"
"2024/03/21 12:15:13 am GMT+5:30","Not familiar","Yes","Transparent","3","Mixed feedback","Non trustworthy","Highly recommend","Average"
"2024/03/21 12:15:14 am GMT+5:30","Not familiar","Yes","Transparent","3","Mixed feedback","Non trustworthy","Highly recommend","Average"
"2024/03/21 12:15:15 am GMT+5:30","Not familiar","Yes","Transparent","3","Mixed feedback","Non trustworthy","Highly recommend","Average"
"2024/03/21 12:15:17 am GMT+5:30","Not familiar","Yes","Transparent","3","Mixed feedback","Non trustworthy","Highly recommend","Average"
"2024/03/21 12:15:18 am GMT+5:30","Not familiar","Yes","Transparent","3","Mixed feedback","Non trustworthy","Highly recommend","Average"
"2024/03/21 12:15:20 am GMT+5:30","Not familiar","Yes","Transparent","3","Mixed feedback","Non trustworthy","Highly recommend","Average"
"2024/03/21 12:15:21 am GMT+5:30","Not familiar","Yes","Transparent","3","Mixed feedback","Non trustworthy","Highly recommend","Average"
"2024/03/21 12:15:23 am GMT+5:30","Not familiar","Yes","Transparent","3","Mixed feedback","Non trustworthy","Highly recommend","Average"
"2024/03/21 12:15:24 am GMT+5:30","Not familiar","Yes","Transparent","3","Mixed feedback","Non trustworthy","Highly recommend","Average"
"2024/03/21 12:15:25 am GMT+5:30","Not familiar","Yes","Transparent","3","Mixed feedback","Non trustworthy","Highly recommend","Average"
"2024/03/21 12:15:27 am GMT+5:30","Not familiar","Yes","Transparent","3","Mixed feedback","Non trustworthy","Highly recommend","Average"
"2024/03/21 12:15:28 am GMT+5:30","Not familiar","Yes","Transparent","3","Mixed feedback","Non trustworthy","Highly recommend","Average"
"2024/03/21 12:15:30 am GMT+5:30","Not familiar","Yes","Transparent","3","Mixed feedback","Non trustworthy","Highly recommend","Average"
"2024/03/21 12:15:31 am GMT+5:30","Not familiar","Yes","Transparent","3","Mixed feedback","Non trustworthy","Highly recommend","Average"
"2024/03/21 12:15:33 am GMT+5:30","Not familiar","Yes","Transparent","3","Mixed feedback","Non trustworthy","Highly recommend","Average"
"2024/03/21 12:15:35 am GMT+5:30","Not familiar","Yes","Transparent","3","Mixed feedback","Non trustworthy","Highly recommend","Average"